mots actifs eligibles,,,,,,,,,
1 mai 2023 - 31 mai 2023,,,,,,,,,
Mot clé pour le Réseau de Recherche,Code de la devise,Éligible_Conversions,Éligible_Coût/conv.,Éligible_Taux de conv.,Éligible_Clics,Éligible_Impr.,Éligible_Coût,Éligible_CTR,Éligible_CPC moy.
magasine pour enfants,EUR,0,--,0%,3,19,"0,43","15,79%","0,14"
magasines enfants,EUR,0,--,0%,1,31,"0,34","3,23%","0,34"
magazin ado,EUR,0,--,0%,1,1,"0,89",100%,"0,89"
magazin enfant,EUR,0,--,0%,0,0,0,0%,--
magazin enfants,EUR,0,--,0%,0,0,0,0%,--
magazin pour enfant,EUR,0,--,0%,0,0,0,0%,--
magazine abonnement enfant,EUR,0,--,0%,0,26,0,0%,--
magazine abonnement jeunesse,EUR,0,--,0%,1,21,"1,11","4,76%","1,11"
magazine actualité ado,EUR,0,--,0%,0,0,0,0%,--
magazine actualité jeunesse,EUR,0,--,0%,0,0,0,0%,--
magazine ado,EUR,0,--,0%,2,56,"0,5","3,57%","0,25"
magazine ado 15 ans,EUR,0,--,0%,0,10,0,0%,--
magazine ado 16 ans,EUR,0,--,0%,1,1,"0,17",100%,"0,17"
magazine ado actualité,EUR,0,--,0%,0,0,0,0%,--
magazine ado fille,EUR,0,--,0%,1,17,"0,14","5,88%","0,14"
magazine ado fille 16 ans,EUR,0,--,0%,0,2,0,0%,--
magazine ado garçon,EUR,0,--,0%,0,3,0,0%,--
magazine adolescent,EUR,0,--,0%,1,13,"0,28","7,69%","0,28"
magazine adolescent fille,EUR,0,--,0%,0,8,0,0%,--
magazine adolescente,EUR,0,--,0%,0,11,0,0%,--
magazine ados,EUR,0,--,0%,0,12,0,0%,--
magazine animaux enfant,EUR,0,--,0%,0,13,0,0%,--
magazine animaux enfants,EUR,0,--,0%,0,1,0,0%,--
magazine animaux jeunesse,EUR,0,--,0%,0,1,0,0%,--
magazine art enfant,EUR,0,--,0%,0,1,0,0%,--
magazine auto moto,EUR,0,--,0%,1,46,"0,37","2,17%","0,37"
magazine auto moto abonnement,EUR,0,--,0%,0,0,0,0%,--
magazine bd ado,EUR,0,--,0%,0,3,0,0%,--
magazine beaux arts abonnement,EUR,0,--,0%,0,0,0,0%,--
magazine catholique jeunesse,EUR,0,--,0%,0,0,0,0%,--
magazine cheval abonnement,EUR,0,--,0%,4,59,"1,36","6,78%","0,34"
magazine cycle,EUR,0,--,0%,9,138,"7,25","6,52%","0,81"
magazine d ado,EUR,0,--,0%,0,0,0,0%,--
magazine de jeunesse,EUR,0,--,0%,3,32,"1,32","9,38%","0,44"
magazine de mode pour ado,EUR,0,--,0%,0,1,0,0%,--
magazine des enfants,EUR,0,--,0%,2,38,"0,46","5,26%","0,23"
magazine des jeunes,EUR,0,--,0%,0,0,0,0%,--
magazine documentaire jeunesse,EUR,0,--,0%,0,0,0,0%,--
magazine enfance,EUR,0,--,0%,2,43,"0,41","4,65%","0,21"
magazine enfant abonnement,EUR,0,--,0%,1,17,"0,37","5,88%","0,37"
magazine enfant animaux,EUR,0,--,0%,0,4,0,0%,--
magazine enfant fille,EUR,0,--,0%,0,6,0,0%,--
magazine enfant fr,EUR,0,--,0%,0,1,0,0%,--
magazine enfant pas cher,EUR,0,--,0%,16,65,"8,02","24,62%","0,5"
magazine enfants,EUR,0,--,0%,7,96,"2,59","7,29%","0,37"
magazine enfants animaux,EUR,0,--,0%,0,1,0,0%,--
magazine enfznt,EUR,0,--,0%,0,0,0,0%,--
magazine fille ado,EUR,0,--,0%,1,9,"0,36","11,11%","0,36"
magazine foot ado,EUR,0,--,0%,0,0,0,0%,--
magazine geo ado,EUR,0,--,0%,0,0,0,0%,--
magazine géo ado,EUR,0,--,0%,0,0,0,0%,--
magazine hebdomadaire jeunesse,EUR,0,--,0%,0,2,0,0%,--
magazine histoire ado,EUR,0,--,0%,0,2,0,0%,--
magazine histoire enfant,EUR,0,--,0%,0,0,0,0%,--
magazine jeune,EUR,0,--,0%,2,17,"0,54","11,76%","0,27"
magazine jeune adulte,EUR,0,--,0%,0,0,0,0%,--
magazine jeune fille,EUR,0,--,0%,0,0,0,0%,--
magazine jeunes,EUR,0,--,0%,0,12,0,0%,--
magazine jeunes années,EUR,0,--,0%,0,0,0,0%,--
magazine jeunesse,EUR,0,--,0%,4,130,"2,29","3,08%","0,57"
magazine jeunesse ado,EUR,0,--,0%,0,3,0,0%,--
magazine jeunesse animaux,EUR,0,--,0%,0,1,0,0%,--
magazine jeunesse fille,EUR,0,--,0%,1,31,"0,96","3,23%","0,96"
magazine la petite fabrique,EUR,0,--,0%,3,12,"1,31",25%,"0,44"
